subset,group,question_id,turns,reason,uids,prompt_tokens_max,verify_steps,accept_len,hit,p1_hit,p2_hit,p1_al,p2_al,accept_len_delta,p2_hit_delta
postfull_screening,summarization,280,1,fixed_random_seed20260815,280_t0,1151.0,77.0,7.48051948051948,0.9090909090909091,0.8441558441558441,0.06493506493506493,8.215384615384615,3.4,4.016233766233766,-0.16720779220779222
postfull_screening,summarization,285,1,fixed_random_seed20260815,285_t0,1278.0,145.0,3.0965517241379312,0.6068965517241379,0.496551724137931,0.1103448275862069,3.25,3.3125,-0.48786386027765305,-0.045499328257948946
postfull_screening,summarization,292,1,fixed_random_seed20260815,292_t0,747.0,55.0,3.5454545454545454,0.7818181818181819,0.6363636363636364,0.14545454545454545,4.342857142857143,2.875,-5.118262268704747,0.13660498793242154
postfull_screening,summarization,296,1,fixed_random_seed20260815,296_t0,966.0,35.0,2.5714285714285716,0.42857142857142855,0.37142857142857144,0.05714285714285714,2.769230769230769,1.5,1.5714285714285716,0.05714285714285714
postfull_screening,summarization,307,1,fixed_random_seed20260815,307_t0,498.0,45.0,3.111111111111111,0.6444444444444445,0.4666666666666667,0.17777777777777778,3.0476190476190474,3.5,-0.15204678362573087,-0.17309941520467834
postfull_screening,qa,321,1,fixed_random_seed20260815,321_t0,11.0,175.0,5.005714285714285,0.7885714285714286,0.7028571428571428,0.08571428571428572,5.642276422764228,3.6,1.0723809523809522,-0.09206349206349207
postfull_screening,qa,346,1,fixed_random_seed20260815,346_t0,12.0,290.0,3.5413793103448277,0.6551724137931034,0.496551724137931,0.15862068965517243,3.861111111111111,2.9347826086956523,0.2575955265610439,-0.09813606710158432
postfull_screening,qa,352,1,fixed_random_seed20260815,352_t0,12.0,292.0,3.517123287671233,0.7773972602739726,0.5753424657534246,0.20205479452054795,3.8154761904761907,3.440677966101695,-0.7401381231171489,0.015332802819303132
postfull_screening,qa,353,1,fixed_random_seed20260815,353_t0,12.0,226.0,4.566371681415929,0.7035398230088495,0.6283185840707964,0.0752212389380531,5.788732394366197,2.4117647058823533,0.4543716814159291,-0.1127787610619469
postfull_screening,qa,356,1,fixed_random_seed20260815,356_t0,13.0,111.0,5.8558558558558556,0.8108108108108109,0.7567567567567568,0.05405405405405406,6.714285714285714,3.3333333333333335,0.5961873475685628,-0.05644318351500671
postfull_screening,qa,375,1,fixed_random_seed20260815,375_t0,11.0,36.0,4.055555555555555,0.8888888888888888,0.6666666666666666,0.2222222222222222,4.541666666666666,3.5,-0.6711886304909562,0.04198966408268734
postfull_screening,qa,376,1,fixed_random_seed20260815,376_t0,17.0,85.0,5.588235294117647,0.8941176470588236,0.7647058823529411,0.12941176470588237,6.2615384615384615,3.909090909090909,0.33823529411764675,-0.028751500600240093
postfull_screening,qa,380,1,fixed_random_seed20260815,380_t0,15.0,278.0,3.694244604316547,0.737410071942446,0.539568345323741,0.19784172661870503,4.133333333333333,3.3636363636363638,0.44541831323673486,-0.04159489309960482
